comment,topic,cluster,pred_topic
shredded chicken hope guide shredded chicken helpful al,87,16,Chicken recipes for dinner
weight loss diet plan living healthy acai berry,55,71,Weight loss and acai berry products
superbowl force volkswagen commercial stellar mrx,99,37,Super Bowl commercials
lt vote budlight commercial thumb superbowl,99,84,Budweiser and beer-related ads
wash post tweet cairo bureau chief photographer reportedly arrested egypt,66,25,Egypt-related political news
christina aguilera mangle star spangled banner super bowl abc news sb,75,67,Christina Aguilera’s national anthem mishap
dean baker problem structrual unemployment incompetent manager,26,18,Job market and unemployment rate
stella artois superbowl commercial youtube ad blitz channel,99,15,Super Bowl commercials
healthy skepticism wal mart healthy push michelle obama partnered wal mart,65,47,Lady Michelle Obama fitness campaign
crash super bowl doritos pepsi max pepsico plan user generated commercial,99,44,Pepsi Max and Doritos ads
news update giffords condition upgraded good doctor rep gabrielle giffords upgraded condition,37,29,Invalid
sideline test accurately detects athlete concussion minute,84,49,Concussions and sports injuries
australia greatest olympian ian thorpe expected reportedly comeback international swim,15,59,Natural disasters and climate change
news alert ruling restores emanuel ballot breaking news alertthe york timestue january,21,24,Rahm Emanuel ballot case
christina aguilera destroys national anthem superbowl,75,65,Christina Aguilera’s national anthem mishap
supreme court stay okla water fight,89,56,Natural disasters and climate change
recipe super bowl slider super bowl party food big comfy flavor ease day,87,16,Chicken recipes for dinner
yeahboy nadal australianopen djokovic murray,71,60,Australian Open tennis championship
black swan drama purest form portman doesn win academy corrupt aronofsky created masterpiece blackswan,101,54,Black Swan and Natalie Portman
spellbound black swan night budget gross growing natalie amazing hope sweep nomination,101,54,Black Swan and Natalie Portman
hearing heated sea bass fishing usual fishing year black sea bass specie june,60,81,Fishing
winter coleslaw chicken salad sandwich kitchen season ross dobson wo,87,16,Chicken recipes for dinner
eye rise fishing field stream,60,66,Fishing events and gear
well surprise good thing healthcare law declared,22,24,Healthcare reform legal battles
best superbowl commercial good game night good ad top superbow,99,84,Super Bowl ad reviews
star kubica involved serious crash yahoo eurosport,11,20,Celebrity gossip and pop culture
article updated chicken stroganoff recipe,87,16,Chicken recipes and food ideas
giffords speaking valve breathing tube,37,29,Healthcare reform legality
republic argued florida ruling monday judge roger vinson florida,22,69,Healthcare reform legal battles
charlie sheen rehabs filed charlie sheen nurse,68,12,Charlie Sheen controversies
doritos commercial guy lick cheese guy finger favorite superbowl commercial,99,68,Super Bowl ad reviews
discus fish secret review discus fish secret,60,81,Aquariums trivia and maintenance tips
identity theft cost infographic online fraud crime rise mo,108,10,Identity theft concerns
facebook profile harvested setting dating site facebook user unwitting,95,53,Facebook and privacy settings
white stripe officially call quits,17,64,White Stripe breakup announcement
youtube present shawn moore soul reaching spreading love peace faith hope,99,84,Social media for politics
oscar nomination academy award nominee watch,88,33,Awards season: Oscars and SAG
superbowl pepsi commercial angry girlfriend pretty funny,99,44,Pepsi Max and Doritos ads
potential replacement steve job electronics worked ibm year including senior role,106,51,Steve Jobs’ health and impact on Apple
christina aguilera flub star spangled banner lyric super bowl sport,75,67,Christina Aguilera’s national anthem mishap
federal judge rule health care reform law,22,35,Healthcare reform legal battles
healthy recipe dinner sue healthy lifestyle,87,16,Chicken recipes and food ideas
check video bridgestone unexpected obstacle super bowl xlii commercial,99,52,Super Bowl commercials
top three super bowl commercial,99,52,Super Bowl ad reviews
invite read cap blog connection join dialogue bullying,90,49,Social media for politics
feel super bowl national anthem fail christina aguilera lion den university,75,65,Christina Aguilera’s national anthem mishap
james franco sundance drag,96,30,Celebrity gossip and pop culture
best buy future proof tech purchase buy program cost complete range con,85,1,Electronics and gadgets
rnc chair political vip super bowl republican national committee chairman reince priebus posted,100,82,RNC and Ronald Reagan celebrations
folk scrambling job don exist find structural unemployment,26,80,Job market and unemployment rate
artifact stolen egyptian museum cairo sad,10,7,Egyptian protests and museum protection
thought dolphin caught pearl hogy rigged oz jig head fish,60,81,Fishing
superbowl commercial going bud light doritos pepsi,99,44,Pepsi Max and Doritos ads
acai berry chocolate tasting weight loss diet plan demand acai berry eventually lead,55,71,Weight-loss diets and acai berry
fishing hunting pike year sam biever rice lake caught inch northern pike fis,60,8,Fishing
orange chicken twist chinese delicious,87,83,Chicken recipes and food ideas
watch christina aguilera screw national anthem super bowl,75,67,Christina Aguilera’s national anthem mishap
king speech top film producer award azcentral,88,45,Awards season: Oscars and SAG
christina aguilera national anthem super bowl flub happen york daily news fox,75,67,Christina Aguilera’s national anthem mishap
facebook great personal careful reveal online privacy security,95,53,Facebook and privacy settings
black commented chasindatpaper blog post eww eating lawsuit alleges taco bell beef,20,3,Taco Bell lawsuit
check interviewing danny glover houseofswagg sundance thedreamisreal,96,59,Sundance Film Festival
james franco wig sundance jared blogging inside decked bing bar,96,30,Celebrity gossip and pop culture
supreme court doubtful personal privacy false person,89,11,Identity theft concerns
king speech notch top director award bbc news,88,45,Awards season: Oscars and SAG
losing weight best acai berry benefit report elmerfizz people reduce fat,55,71,Weight-loss diets and acai berry
hooked ice fishing small sled fishing gear pulling contained fish targeting,60,81,Fishing events and gear
geegood post king speech rule oscar nomination ap,88,39,Awards season: Oscars and SAG
houston transfer help giffords husband kelly cope,37,29,Celebrity gossip and pop culture
parmesan chicken broccoli pasta cocktail mom recipe husband love,87,83,Chicken recipes and food ideas
college scholarship white picket college tag college financial aid college scholarship money college sch,97,75,College scholarships and financial aid
lighter note today wrapped second national bed bug summit cue bad joke conference hotel,52,82,Bed bugs issue
maqui berry newest effective losing weight,55,27,Weight-loss diets and acai berry
judge strike healthcare reform law,22,35,Healthcare reform legal battles
caught lb yellowfin tuna flick fishing flickfishing,60,81,Fishing
moroccan roasted chicken orange juice recipe recipe moroccan roasted chicken orange,87,83,Chicken recipes for dinner
ice fishing trip frozen connecticut river vic attardo outdoors current strong flow,60,8,Fishing events and gear
terrorist attack view exclusive footage today bombing moscow airport dozen dead tcot ocra,36,17,Moscow airport bombing
rep giffords set rehab houston yahoo share friend health smoking story,37,29,Charlie Sheen controversies
iran year nuclear weapon iranelection,73,70,Iran’s political and legal actions
bottega veneta launch fragrance,46,47,Electronics and gadgets
acai berry weight loss diet plan healthy weight reduction number diet plan advertised sugge,55,71,Weight-loss diets and acai berry
update lt gov seek support cuomo budget,19,32,Rahm Emanuel ballot case
life waste text life shouldn text drive,104,61,Safe driving pledges
glenn beck virulent attack cuny prof fox piven inciting threat aaup irresponsible rhetoric,40,82,Social media influence in democracy
watch audi superbowl commercial youtube ad blitz channel,99,31,Mercedes Benz and Kia Superbowl commercials
quora will best buy electronics buy consumer answer,85,1,Electronics and gadgets
redfishing great cape fear backwater warmer day light wind,60,28,Fishing events and gear
tomorrow australian open tennis final men andy murray navok djojovic ganna win murray fan murray,71,60,Australian Open tennis championship
doritos best superbowl commercial lmao,99,68,Epic Doritos Superbowl commercials
cuomo budget hit school toddler yonkers longer attend pre school srq,19,49,Job market and unemployment rate
cuomo call york budget process quot sham quot,19,32,Social media for politics
kia commercial advertising superbowl commercial snake consuming,99,48,Mercedes Benz and Kia Superbowl commercials
stock future higher investor refocus economy york reuters stock,92,22,Stock market and investing
eminem helped plug commercial yesterday superbowl second superbowlxlv,99,41,Super Bowl commercials
oscar anounced morning,88,33,Awards season: Oscars and SAG
ayam goring fried chicken rinse chicken inside cold running water pat dry paper tow,87,16,Chicken recipes for dinner
fast food caught immigration crosshairs,80,82,Fast food and immigration policies
correcting link yemen latest arab state join unrest activist demonstrating,79,21,Middle East protests
going fishing today friend hatteras hope find catch fishing cabo slow,60,28,Fishing
superbowl commercial elantra psychedelic groupon wrong cocacola cool elantra win,99,9,Super Bowl ad reviews
super bust woe endless texas host super bowl week texas super,24,52,Super Bowl commercials
saturday horse racing betting advice,94,73,Horse racing and betting tips
republican gain democrat social medium,45,40,Social media for politics
hack facebook unlocks security facebook adding security feature pair,95,38,Facebook and privacy settings
fly fishing program host replaces columbia country wft newsbob asbury producer,60,81,Fishing events and gear
imported detroit excellent car commercial paying attention eminen damn superbowl commercial,99,5,Super Bowl commercials
menu tonight chicken curry recipe,87,16,Chicken recipes and food ideas
watch shearon harris lake jun top water bass fishing,60,66,Fishing
yemen president facing protest will seek extend term expires,79,14,Yemen protest news
rite tv spot kingdom,14,36,Movies on exorcism
glenn beck target france fox piven beck scary,40,82,Urban gossip and celebrity sightings
safon oscar nomination list academy award nominee,88,33,Awards season: Oscars and SAG
recipe fried chicken liver mexico chilies,87,83,Chicken recipes and food ideas
ice fishing social medium explosion,60,8,Fishing events and gear
delirious today feeling well time jewish penicillin chicken soup,87,16,Chicken recipes and food ideas
okaaaay bowled super bowl well official bud light advert,99,84,Budweiser and beer-related ads
news update step checking facebook privacy,95,53,Facebook and privacy settings
acai berry work reading help understand acai berry work acai berry,55,27,Weight loss and acai berry products
super bowl xlv commercial lm,99,52,Super Bowl commercials
fly fishing kunaplaza kunaplaza,60,81,Fishing
eve fashion week nyc entrepreneur fashion lover networkers join brightnight,93,47,Celebrity gossip and pop culture
fast food caught immigration crosshairs reuters,80,82,Fast food and immigration policies
identity theft resource center protecting personal identifying idtheft identitytheft,108,10,Identity theft concerns
karaage japanese fried chicken recipe blog,87,16,Chicken recipes and food ideas
barbel fishing float short edited clip barbel day way series top barbel angler mic wo,60,81,Fishing events and gear
fashion week fall fashion week hot list hot list fall fashion week check,93,47,Celebrity gossip and pop culture
teamfollowback charlie sheen rehab tv hold los angeles reuters half aday,68,12,Charlie Sheen controversies
suu kyi party urge west maintain myanmar sanction reuters,110,87,Myanmar sanctions and political transitions
cozy scene recipe gluten free fried chicken hsoul,87,16,Chicken recipes and food ideas
michelle obama coming atlanta washington lady michelle obama planning travel atlanta,65,47,Lady Michelle Obama fitness campaign
brown trout fishing tip yahoo answer wfnewsi headed alberta july,60,66,Southwest fly fishing and trout discussions
gourmet mom anise chicken recipe,87,16,Chicken recipes and food ideas
super bowl xlv christina aguilera repeat national anthem christina aguilera flubbed nfl,75,67,Christina Aguilera’s national anthem mishap
fishing tackle box zebco ready tackle telescopic multi combo fishing kit,60,81,Fishing
king speech lead oscar race film stuttering british monarch movie founder,88,39,Awards season: Oscars and SAG
mobile launch service osl,104,40,Electronics and gadgets
king speech rule obvious batch oscar bait,88,39,Awards season: Oscars and SAG
applying federal student aid fear fafsa,97,75,College scholarships and financial aid
king speech lead academy award nomination memphis commercial appeal,88,13,Awards season: Oscars and SAG
taco bell beef taco inexpensive beef lawsuit share info,20,3,Taco Bell lawsuit
yemen president extend term aljazeera,79,14,Yemen protest news
gasland scare oscar nom best doc news junkie post read njp film review eco greedmachine,109,59,Natural disasters and climate change
tom hooper king speech winner dga award besting social network david fincher,88,45,Awards season: Oscars and SAG
molto vega farmer market shut county,70,42,Natural disasters and climate change
surprise day immigration crackdown bad american access burrito,80,42,Fast food and immigration policies
watched black swan mindblowing watch natalie portman deserves oscar mila kunis love lt,101,54,Black Swan and Natalie Portman
superbowl commercial big deal,99,34,Super Bowl ad reviews
bbc news bbc service cut outlined staff,1,18,Job market and unemployment rate
volkswagen commercial black beetle spot st century beetle cutting edg,99,37,Super Bowl commercials
dress winter steelhead fishing,60,8,Fishing events and gear
bass fishing contest android game shuixing casual,60,81,Fishing events and gear
so sleep update fda clear pgxhealth depressive disorder drug viibryd health treatment,58,24,FDA drug approvals
bbc news dutch freeze contact iran hanging,42,70,Iran’s political and legal actions
doctor giffords face rocky road recovery day week rep gabrielle giffords recovery fr,37,29,Healthcare reform legal battles
horse wagering legal sport lounge bet mile existing racetrack tra,94,73,Horse racing and betting tips
sony ericsson xperia play official super bowl commercial full launch coming february,99,1,Electronics and gadgets
yr russian won australian open,71,60,Australian Open tennis championship
minnesota week extreme ice fishing rescuer boat save stranded fisherman,60,8,Fishing events and gear
local christina aguilera fumble national anthem christina aguilera flubbed belted,75,65,Christina Aguilera’s national anthem mishap
delicious chicken curry recipe hope will,87,83,Chicken recipes and food ideas
king speech rule oscar nomination,88,39,Awards season: Oscars and SAG
journalist beaten website blocked amid protest egypt cpj,66,22,Egypt-related political news
cook gun shop offer amp firearm gunsmithing service hunting fishing accessory,60,81,Fishing
king speech best ensemble sagawards,88,45,Awards season: Oscars and SAG
huge outdoor slated feb wft newsfrom trophy elk deer hunt trout ba,60,66,Southwest fly fishing and trout discussions
photography check bottega veneta robert longo photo shoot fall winter advertising camp,46,59,Celebrity gossip and pop culture
doctor giffords good condition will rehab rep gabrielle giffords good condition wi,37,29,Charlie Sheen controversies
find free college grant money find free college grant money find free college gran grant,97,75,College scholarships and financial aid
luv gt mock chicken fettuccine alfredo grocery store dinner,87,16,Chicken recipes and food ideas
christina aguilera flub national anthem singing er rampart watched gallantly,75,67,Christina Aguilera’s national anthem mishap
republican catch democrat socialmedia politics,45,40,Social media for politics
judge owns stock aetna,22,46,Stock market and investing
reuters reporting looter break national museum yesterday destroy mummy,10,7,Egyptian protests and museum protection
dvr alert pm today oprah winfrey deep family secret revealed,13,0,Oprah Winfrey
rite movie trailer anthony hopkins best flick movie trailer hd streaming torrent downloads movie,14,36,Movies on exorcism
told skinny today day burn fat,55,79,Weight-loss advice and fat-burning foods
gill net fishing closed early ton rockfish poaching bust capital news service photo kerry davis,60,42,Fishing events and gear
thumbnail drive wi fi device convenient risky safe tip fb,108,11,Facebook and privacy settings
friday time pack week ice fishing check canadian,60,8,Fishing events and gear
super smoker sweet spicy wing perfect sunday sb smokedrecipes footballfood recipe,87,16,Chicken recipes and food ideas
federal judge toss entire healthcare reform law account individual mandate acquire insurance coverage,22,35,Healthcare reform legal battles
will write superbowl commercial someday vw take cake,99,84,Super Bowl commercials
iran hang dutch iranian woman drug smuggling worldnews,42,70,Iran’s political and legal actions
remember alex brown don text drive lt ambrat gt,104,86,Safe driving pledges
resource teacher parent film consequence schoolviolence bullying,90,49,Social media influence in democracy
christina aguilera great job national anthem,75,67,Christina Aguilera’s national anthem mishap
detroit auto green,28,31,Natural disasters and climate change
christina aguilera apologize flubbing national anthem,75,65,Christina Aguilera’s national anthem mishap
idc apple lead rim worldwide smartphone maker,81,1,Electronics and gadgets
yemeni rally president,79,21,Yemen protests intensify
connecting bass fishing,60,81,Fishing events and gear
south indian river fishing report snook fishing pretty quiet jetty,60,28,Fishing events and gear
republican party debt gear,100,57,Crime-solving TV shows
obama praise military healthy initiative lady michelle obama visited army largest training,65,47,Lady Michelle Obama fitness campaign
egyptian journalist dy gunshot wound egyptian reporter shot clash week ago died,66,22,Egypt-related political news
mayor closed chicago public school,57,43,Chicago blizzard: Historic snowstorm
cold weather put chill clear lake bass fishing cold weather slowed bass fishing crawl,60,8,Fishing events and gear
favorited youtube video brisk eminem super bowl commercial,99,41,Super Bowl commercials
fishing report feb surf pier richie knuth fishin shack heard thi,60,28,Fishing events and gear
cbc news foreign journalist attacked egypt,66,25,Egypt-related political news
bbc news dutch freeze contact iran hanging,42,70,Iran’s political and legal actions
weight loss diet plan living healthy acai berry people sticking,55,71,Weight-loss diets and acai berry
app called auto text reply will auto text office car angel pledge don text drive,104,61,Don’t text and drive campaigns
amazon acai berry weight loss expectation acai berry amazon named super fruit cl,55,9,Weight-loss diets and acai berry
yemeni president won extend presidential term yemen,79,14,Yemen protest news
giffords condition upgraded good doctor rep gabrielle giffords upgraded condition serio,37,29,Crime-solving TV shows
fact fly fishing rod overstock,60,81,Fishing
report hint best buy stock verizon iphone launch best buy outlet will varying amoun,85,1,Electronics and gadgets
canada fly fishing canada fly fishing free online article directory submit article top author top,60,8,Fishing events and gear
king speech lead oscar race nomination reuters reuters king speech british drama,88,39,Awards season: Oscars and SAG
mob democracy facebook twitter youtube revolution facebook,45,63,Social media for politics
prince william kate middleton wedding guest invited fax telegraph uk,18,4,British royalty and weddings
read cook enjoy recipe israel couscous,87,16,Chicken recipes and food ideas
king speech true grit top oscar nomination,88,39,Awards season: Oscars and SAG
weekend wrap king speech rule sag dgas portman pick trophy weekend,88,45,Awards season: Oscars and SAG
newcar audia watch audi superbowl commercial youtube ad blitz channel,99,31,Mercedes Benz and Kia Superbowl commercials
terrific mercedes benz commercial superbowl extended version promising future,99,48,Mercedes Benz and Kia Superbowl commercials
vote delayed immigration verify bill house labor subcommittee adjourned debate directed dep,82,42,Fast food and immigration policies
sad white stripe split steam side project best moment,17,18,White Stripe breakup announcement
news annual ice fishing derby,60,8,Fishing events and gear
aquarium fish breeding angel fish best technique started breeding angel fish buy,60,81,Aquariums and pet care
great expectation award natalie portman colin firth screen actor guild,88,4,Awards season: Oscars and SAG
reading chicken taco rice chicken taco rice yum yum yum eat plate coul,87,16,Chicken recipes for dinner
love farmer market long beach,70,83,Fishing
rocking christina aguilera explains national anthem flub christina aguilera well aware,75,67,Christina Aguilera’s national anthem mishap
keith olbermann join current tv report keith olbermann controversial liberal pundit ho,30,62,Keith Olbermann’s move to Current TV
cc omg love commercial detroit superbowl brandbowl,99,34,Super Bowl commercials
superbowl commercial volkswagen force smaller darth vader,99,37,Super Bowl commercials
official facebook video talking privacy setting watch,95,53,Facebook and privacy settings
calum miller mba scholarship university edinburgh uk beasiswa scholarship,97,78,Scholarships and international awards
best news somali pirate hijack german ship somali pirate hijacked german owned ship mv amirojkes,107,58,Pirates and maritime security
powell hu visit success yep powell suck turncoat,61,87,Celebrity gossip and pop culture
secured unsecured debt consolidation loan settle credit card debt cost debt consolidation,74,57,Consumer debt consolidation
watch montauk kayak fishing blitz video fishing news video,60,8,Fishing
twenty question walleye pro jimmy bell hunting big life fishing,60,8,Fishing
dtn hollywood king speech win top honour director guild award london jan ani historical,88,45,Awards season: Oscars and SAG
post james franco sings sundance,96,30,Sundance Film Festival
fuji xerox setsutaro kobayashi memorial fund foreign student grant japan beasi,97,78,Scholarships and international awards
aguilera flub national anthem christina aguileraflubbed belt,75,6,Christina Aguilera’s national anthem mishap
taco bell beef meat lawsuit claim rest supernatural filler,20,3,Taco Bell lawsuit
doesn watch kardashians,72,88,Kardashians
will acai berry help lose weight acai berry renowned natural weight loss supplement hea,55,27,Weight-loss diets and acai berry
case missed full list year oscar nominee,88,42,Awards season: Oscars and SAG
journalist return central cairo threat remain,66,25,Egyptian protests and museum protection
gibbs father love ep ncis,77,82,Crime-solving TV shows
christina aguilera explains super bowl national anthem flub,75,67,Christina Aguilera’s national anthem mishap
tropical fish tank help aquarium fish tank tropical fish tank fish clean,60,74,Aquariums and pet care
heritage morning bell victory road repeal teaparty hcr,22,82,Healthcare reform legal battles
australia flooding cost enormous flooding australia people making,98,50,Natural disasters and climate change
aaron rodgers concussion nfl playoff packer quarterback hiding brain injury,84,49,Concussions and sports injuries
facebook privacy setting user,95,53,Facebook and privacy settings
federal judge strike insurance mandate entire reform bill,22,35,Healthcare reform legal battles
lazer trokar return sponsor boatus collegiate bass fishing championship,60,81,Fishing events and gear
protect personal facebook,95,53,Facebook and privacy settings
obamacare heading supreme court,22,35,Healthcare reform legal battles
doctor lounge multiple concussion raise teen athlete health risk,84,49,Concussions and sports injuries
natalie portman better win oscar best actress black swan movie amazing time,101,54,Black Swan and Natalie Portman
judge ruled health care individual mandate declared void,22,35,Healthcare reform legal battles
dangerous starbucks cup hold bottle wine watch,62,19,Starbucks Trenta cup controversy
mi head iran sanction nuke program technical expertise create mat,73,70,Iran’s political and legal actions
biggest drop fatal crash involving red light running chandler ariz death dropped,64,18,Red-light cameras and studies
start era middle east,79,14,Middle East protests
fda approves drug treat nerve pain shingle,58,24,FDA drug approvals
carp fishing book effective angling step step king bop carp fishing book,60,81,Fishing bait secrets and auction sites
find better deal offshore saltwater fishing boat ebay check,60,28,Fishing events and gear
factbox group challenging yemen government reuters,79,21,Middle East protests
isg alert visa program gao report congress reform needed minimize risk cost immigration,82,24,Fast food and immigration policies
unemployment rate percent december quarter unemployment rate rose three,26,1,Job market and unemployment rate
al jazeera english journalist freed cairo state dep asked release egypt jan,66,25,Egypt-related political news
iphone profit swamp competitor iphone cheap smartphone load codswallop,81,1,Electronics and gadgets
dangerous text drive besafe,104,61,Safe driving pledges
egyptian army start rounding journalist egypt jan medium journalist,66,25,Egypt-related political news
easy honey mustard mozzarella chicken recipe chicken recipe cooking,87,83,Chicken recipes for dinner
volkswagen black beetle commercial teaser vw set air ad super bowl xlv,99,37,Super Bowl commercials
ny governor proposes sweeping cut funding york school medicaid program slashed srq,19,32,Healthcare reform legal battles
sherrington player steerlers james harrison concussion seriously super bowl xlv news sportsdaydfw,84,82,Concussions and sports injuries
super bowl commercial volkswagen favored win seo,99,37,Super Bowl commercials
prob love,72,56,Kim Kardashian’s social presence
congratulation natalie portman golden globe sag black swan seriously phenomenal sagawards,101,54,Awards season: Oscars and SAG
obsessed natalie portman black swan amazed beautiful dancer,101,54,Black Swan and Natalie Portman
lighting save energy money jim dino staff writer changing lighting system cost effecti,27,77,Energy saving tips
book guide child therapist calling week parenting stopbullying,90,18,Urban gossip and celebrity sightings
fda approves drug reduce risk preterm birth risk pregnant woman silver spring md feb,58,24,FDA drug approvals
expected king speech top oscar nomination,88,39,Awards season: Oscars and SAG
gbagbo camp futile cut ivory coast economy reuters ivory coast laurent gbagbo will find way,110,18,Egypt-related political news
text driving drunk,104,61,Safe driving pledges
amazon acai berry weight loss expectation acai berry amazon named super fruit cl,55,9,Weight-loss diets and acai berry
cressi spear fishing america black snorkel,60,81,Fishing
hu jintao meet obama china relation today time,61,26,Social media for politics
robert paisola news taco bell take beef lawsuit public ap ap taco bell news zone,20,3,Taco Bell lawsuit
djokovic murray australian open title ap,71,60,Australian Open tennis championship
acai berry diet weight loss include increase body energy level increased immune system,55,71,Weight loss and acai berry products
chicago lake shore drive death trap closed stranded car blizzard,57,43,Chicago blizzard: Historic snowstorm
super bowl commercial,99,52,Super Bowl commercials
weight loss diet plan acai juice equal nutritional acai berry hit health,55,71,Weight loss and acai berry products
thousand yemeni demand change government thousand yemeni demand change gov hiring send cv,79,26,Middle East protests
colorado fishing blog fish explorer bernie keefe,60,8,Fishing
national attention technological harassment cyber bullying,90,49,Facebook and privacy settings
le site picked bmw lab james franco blond sundance advice wannabe nude art model,96,15,Celebrity gossip and pop culture
giffords condition upgraded good doctor rep gabrielle giffords upgraded condition serio,37,29,Crime-solving TV shows
second tweet somali piracy sea economist,107,58,Pirates and maritime security
movie review rite mill exorcist movie weymouth news usa todaymovie review rite,14,36,Movies on exorcism
acai berry weight loss diet plan healthy weight reduction number diet plan,55,71,Weight-loss diets and acai berry
best buy buy official free february best buy gadget repurchase breakingnews fb,85,1,Electronics and gadgets
stock share online stock trading buy stock online today stock market news sabmiller tale inves,92,57,Stock market and investing
best superbowl commercial year stella adrian brody,99,84,Super Bowl ad reviews
cold huge impact fishing bradenton herald,60,28,Fishing
keith olbermann join current tv report keith olbermann controversial liberal pundit socialutility,30,62,Keith Olbermann’s move to Current TV
best picture lil jon sundance,96,23,Sundance Film Festival
golden rule treated jolla high take stand bullying,90,49,Lady Michelle Obama fitness campaign
ready thin ready don burn fat,55,79,Weight-loss advice and fat-burning foods
porn star kacey jordan wild charlie sheen party scene ve destructive,68,15,Charlie Sheen controversies
basic chicken saute recipe,87,16,Chicken recipes and food ideas
wrapup employment gaining speed jobless rate,26,80,Job market and unemployment rate
djokovic murray australian open ap,71,60,Australian Open tennis championship
desperate gasp dying regime list journalist detained beaten egypt,66,22,Egypt-related political news
king speech top list academy award nominee nomination true grit inception social network,88,39,Awards season: Oscars and SAG
turmoil hit yemen yemen president won seek election hand power son cnn,79,14,Yemen protest news
sedative free whale fishing care news network,60,28,Fishing events and gear
don rooting superbowl volkswagen budweiser best commercial,99,37,Budweiser and beer-related ads
obama health care overhaul ruled,22,35,Healthcare reform legal battles
khloe kardashian loved reality star social medium top three month,72,55,Kardashians
apps equal chance identity theft,108,10,Identity theft concerns
post best buy buy official free february,85,1,Electronics and gadgets
moscow airport terror attack kill wound ap,36,17,Moscow airport bombing
saltwater fish marine aquarium fish saltwater aquarium,60,74,Aquariums and pet care
impact sensor slated nfl helmet season playbook,84,1,Concussions and sports injuries
yemen ali abdullah saleh won seek reelection year power amazing happenning mid east,79,14,Yemen protest news
better saltwater fishing general,60,74,Fishing events and gear
saltwater aquarium secretthriving marine aquarium secret pet shop dont,60,74,Aquariums and pet care
nerdalert thing social medium revolution,45,40,Social media influence in democracy
budwiser continued commercial air superbowl sunday swag,99,34,Budweiser and beer-related ads
saltwater deep sea fishing net will full standard fishing virginia seve,60,28,Fishing events and gear
chicago fire department snow mobile reach folk stranded lake shore drive blizzard,57,43,Chicago blizzard: Historic snowstorm
king speech won director guild award best director,88,45,Awards season: Oscars and SAG
live discussion concussion sport start est join hash tag cdcheadsup,84,49,Concussions and sports injuries
check finance news stock market gain money stock exchange time famous,92,73,Stock market and investing
aguilera flub national anthem christina aguilera flubbed belted natio nfl steelers,75,67,Christina Aguilera’s national anthem mishap
yemen unsettled president vow relinquish power yemeni leader ali abdullah saleh will stand current mand,79,14,Yemen protest news
interesting south indian river fishing report lt lt,60,28,Fishing
venezuela chavez mark year power,56,20,Hugo Chávez’s presidency
ahh kardashians craziest family television,72,0,Kardashians
losing excess weight amazon acai berry weight loss people overweight obe,55,9,Weight-loss diets and acai berry
pepsi max bringing nite wait mcdonalds note commercial rule nfl superbowl brandbowl,99,44,Pepsi Max and Doritos ads
doritos superbowl commercial,99,68,Epic Doritos Superbowl commercials
venezuela chavez reelection written caracas venezuelan president hugo chavez sunday,56,20,Hugo Chávez’s presidency
fast track sag award king speech roll los angeles time,88,45,Awards season: Oscars and SAG
brasky doritos commercial win superbowl,99,68,Epic Doritos Superbowl commercials
sharing neocon robert kagan beck call panic monger,59,82,Super Bowl ad reviews
bombing moscow airport kill russia,36,17,Moscow airport bombing
wikileaks nobel peace prize mankind profit motive,12,78,Invalid
uic scholarship aid uic honor college business student university illinois chicago scholarship,97,46,College scholarships and financial aid
super bowl recipe gumbo fried chicken grilled salmon ciabatta serve big party,87,16,Chicken recipes for dinner
national museum lotted piece missing sigh jan jan egypt,10,7,Egyptian protests and museum protection
federal judge rule entire health care law tcot obamacare,22,35,Healthcare reform legal battles
duck security expert warn stuxnet boomerang security,83,11,Facebook and privacy settings
doritos pepsi zone commercial woman bear superbowl,99,44,Pepsi Max and Doritos ads
download rite movie entertainment zone download rite,14,36,Movies on exorcism
king speech usurps throne oscar leader ap queen elizabeth ii dad albert ge movie,88,39,Awards season: Oscars and SAG
state judge agree,22,35,Healthcare reform legal battles
king speech lead oscar nomination,88,39,Awards season: Oscars and SAG
weight loss diet plan living healthy acai berry adi news acai berry promote weight loss imp,55,71,Weight loss and acai berry products
think extreme makeover edition great message tonight don text drive,104,77,Extreme Makeover show
easy recipe ranch house casserole recipe,87,16,Chicken recipes and food ideas
killed moscow airport attack police seeking men report,36,17,Moscow airport bombing
superbowl commercial kale fooducate,99,34,Super Bowl commercials
amazon rain forest safe acai berry diet power attributed,55,9,Weight-loss advice and fat-burning foods
reading acai berry weight loss diet plan cardiovascular health diet weight loss,55,71,Weight-loss diets and acai berry
thousand protest jordan middle east,38,85,Middle East protests
egyptian demonstrator attack journalist cnn will madness,66,22,Egypt-related political news
court rahm emanuel ineligible mayor,21,46,Rahm Emanuel ballot case
oceanside will install additional red light camera mid march camera helpful hurtful,64,18,Red-light cameras and studies
screen actor guild sag award winner full list,88,33,Awards season: Oscars and SAG
christina aguilera apologizes messing national anthem christina aguilera suffered publ,75,65,Christina Aguilera’s national anthem mishap
chipotle scrutiny illegal worker,80,87,Fast food and immigration policies
seth blog texting working texting working shouldn text driving talk,104,61,Safe driving pledges
apps equal chance identity theft leslie meredith start year company,108,11,Identity theft concerns
latest christina aguilera botch national anthem super bowl kickoff,75,65,Christina Aguilera’s national anthem mishap
king speech lead oscar nomination,88,39,Awards season: Oscars and SAG
marinated roast half chicken,87,16,Chicken recipes and food ideas
privacy setting facebook user,95,53,Facebook and privacy settings
